gamma,max_depth,learning_rate,n_estimators,min_child_weight,train_acc,train_f1,train_tp,train_fp,train_tn,train_fn,train_precision,train_recall,train_roc_auc,val_acc,val_f1,val_tp,val_fp,val_tn,val_fn,val_precision,val_recall,val_roc_auc
0,3,0.07,700,50,0.7572834265869187,0.5819209039548022,1751,239,6099,2277,0.8798994974874372,0.43470705064548165,0.6984989970803931,0.5771910524385772,0.21936357481381177,162,181,1412,972,0.47230320699708456,0.14285714285714285,0.5146175230920993
0,3,0.07,700,100,0.7296932278603125,0.518722088629337,1510,284,6054,2518,0.8416945373467113,0.37487586891757696,0.6650333904385928,0.5654565456545655,0.1976980365605958,146,197,1396,988,0.42565597667638483,0.12874779541446207,0.5025408782470929
0,3,0.07,800,20,0.8114991317769632,0.6991995073891626,2271,197,6141,1757,0.9201782820097245,0.5638033763654419,0.766360507999698,0.5764576457645765,0.2572347266881029,200,221,1372,934,0.4750593824228028,0.1763668430335097,0.5188174453711176
0,3,0.07,800,50,0.773490256608142,0.6206785137318255,1921,241,6097,2107,0.8885291396854764,0.4769116186693148,0.7194435026132942,0.5724239090575725,0.2247340425531915,169,201,1392,965,0.45675675675675675,0.1490299823633157,0.5114264789406032
0,3,0.07,800,100,0.74184835037623,0.5517587939698493,1647,295,6043,2381,0.8480947476828012,0.4088877855014896,0.681171567095964,0.570957095709571,0.22,165,201,1392,969,0.45081967213114754,0.1455026455026455,0.5096628105102682
0,3,0.07,900,20,0.8240401311981478,0.7253012048192771,2408,204,6134,1620,0.9218989280245024,0.5978152929493545,0.7828142416151002,0.5786578657865786,0.28142589118198874,225,240,1353,909,0.4838709677419355,0.1984126984126984,0.5238767823513586
0,3,0.07,900,50,0.7859347868030099,0.6498343064541581,2059,250,6088,1969,0.89172802078822,0.5111717974180735,0.7358635888321039,0.5731573157315731,0.245136186770428,189,219,1374,945,0.4632352941176471,0.16666666666666666,0.5145951035781544
0,3,0.07,900,100,0.7568010804553348,0.5896141950187205,1811,304,6034,2217,0.8562647754137116,0.44960278053624625,0.7008190614577728,0.5698569856985699,0.2378167641325536,183,222,1371,951,0.45185185185185184,0.16137566137566137,0.5110079813469643
0,3,0.1,100,20,0.6455720625120587,0.1846426986240568,416,62,6276,3612,0.8702928870292888,0.10327706057596822,0.5467473974385048,0.59002566923359,0.0851063829787234,52,36,1557,1082,0.5909090909090909,0.04585537918871252,0.5116282545661076
0,3,0.1,100,50,0.6356357322014278,0.138654503990878,304,53,6285,3724,0.8515406162464986,0.07547169811320754,0.5335547193626939,0.5874587458745875,0.06015037593984962,36,27,1566,1098,0.5714285714285714,0.031746031746031744,0.5073984396018294
0,3,0.1,100,100,0.6293652324908354,0.11311172668513389,245,59,6279,3783,0.805921052631579,0.06082423038728898,0.5257576500626884,0.5841584158415841,0.055,33,33,1560,1101,0.5,0.0291005291005291,0.5041924491077033
0,3,0.1,200,20,0.6915878834651746,0.3732601450695942,952,121,6217,3076,0.8872320596458527,0.23634558093346575,0.6086271924862974,0.5856252291895856,0.13076923076923078,85,81,1512,1049,0.5120481927710844,0.07495590828924162,0.5120542253310615
0,3,0.1,200,50,0.6784680686860891,0.33299979987992795,832,137,6201,3196,0.8586171310629515,0.20655412115193644,0.5924692347634091,0.585991932526586,0.1295296838858905,84,79,1514,1050,0.5153374233128835,0.07407407407407407,0.5122410546139359
0,3,0.1,200,100,0.6648659077754197,0.2872384078785392,700,146,6192,3328,0.8274231678486997,0.17378351539225423,0.5753739287279983,0.5848918225155849,0.125193199381762,81,79,1514,1053,0.50625,0.07142857142857142,0.5109183032911846
0,3,0.1,300,20,0.7281497202392437,0.4931654676258993,1371,161,6177,2657,0.8949086161879896,0.3403674280039722,0.6574825464412414,0.5801246791345801,0.16362308254200147,112,123,1470,1022,0.4765957446808511,0.09876543209876543,0.5107763130362
0,3,0.1,300,50,0.7117499517653868,0.45454545454545453,1245,205,6133,2783,0.8586206896551725,0.30908639523336645,0.6383709035175984,0.5845251191785845,0.18076644974692696,125,124,1469,1009,0.5020080321285141,0.11022927689594356,0.5161943622395601
0,3,0.1,300,100,0.6950607756125796,0.4079415620902791,1089,222,6116,2939,0.8306636155606407,0.27035749751737836,0.6176653375879729,0.5757242390905757,0.16462093862815885,114,137,1456,1020,0.4541832669322709,0.10052910052910052,0.5072639225181598
0,3,0.1,400,20,0.761624541771175,0.5857502095557419,1747,190,6148,2281,0.9019101703665462,0.43371400198609733,0.7018680454865797,0.5826916024935826,0.21300138312586445,154,158,1435,980,0.4935897435897436,0.13580246913580246,0.518309269721699
0,3,0.1,400,50,0.7396295581709434,0.5355360523145758,1556,227,6111,2472,0.8726864834548513,0.38629592850049654,0.6752401068819933,0.5694902823615695,0.18245125348189414,131,171,1422,1003,0.4337748344370861,0.11552028218694885,0.5040878247092936
0,3,0.1,400,100,0.7173451668917615,0.4801277501774308,1353,255,6083,2675,0.8414179104477612,0.3358987090367428,0.6478325984439001,0.5698569856985699,0.18823529411764706,136,175,1418,998,0.43729903536977494,0.11992945326278659,0.505036917466296
0,3,0.1,500,20,0.7906617788925333,0.6557741116751269,2067,209,6129,1961,0.9081722319859402,0.5131578947368421,0.7400910963113052,0.5815914924825816,0.24983563445101906,190,197,1396,944,0.4909560723514212,0.1675485008818342,0.521941230980779
0,3,0.1,500,50,0.7606598495080069,0.5930785632278169,1808,261,6077,2220,0.8738521024649589,0.44885799404170806,0.7038389055093363,0.5713237990465714,0.2180602006688963,163,198,1395,971,0.4515235457063712,0.1437389770723104,0.5097225958807879
0,3,0.1,500,100,0.7348060968551032,0.5320851063829787,1563,284,6054,2465,0.8462371413102329,0.38803376365441905,0.6716123378070139,0.5676567656765676,0.20925553319919518,156,201,1392,978,0.4369747899159664,0.13756613756613756,0.5056945565420142
0,3,0.1,600,20,0.8140073316612001,0.7061871380676623,2317,217,6121,1711,0.914364640883978,0.5752234359483615,0.7704927530010031,0.574990832416575,0.24983818770226537,193,218,1375,941,0.46958637469586373,0.17019400352733685,0.5166726452037186
0,3,0.1,600,50,0.7787960640555662,0.6359739641212891,2003,268,6070,2025,0.8819903126376046,0.49726911618669317,0.7274922419052746,0.563989732306564,0.21621621621621623,164,219,1374,970,0.4281984334203655,0.14462081128747795,0.5035721758885601
0,3,0.1,600,100,0.7518811499131777,0.5787749754339994,1767,311,6027,2261,0.8503368623676613,0.4386792452830189,0.694805069154605,0.5691235790245691,0.23552374756018218,181,222,1371,953,0.4491315136476427,0.15961199294532627,0.5101261471317968
0,3,0.1,700,20,0.8356164383561644,0.7480035492457853,2529,205,6133,1499,0.9250182882223847,0.6278550148957299,0.7977552133487801,0.5786578657865786,0.2787193973634652,222,237,1356,912,0.48366013071895425,0.19576719576719576,0.5234956506142947
0,3,0.1,700,50,0.7977040324136601,0.6764388211695725,2192,261,6077,1836,0.8935996738687322,0.5441906653426017,0.7515052411597831,0.5694902823615695,0.2522292993630573,198,238,1355,936,0.4541284403669725,0.1746031746031746,0.512599766837055
0,3,0.1,700,100,0.7667374107659657,0.6142310146777281,1925,315,6023,2103,0.859375,0.47790466732869913,0.7141022232194142,0.5665566556655666,0.24904701397712833,196,244,1349,938,0.44545454545454544,0.1728395061728395,0.5098346934505126
0,3,0.1,800,20,0.8515338606984372,0.7784017278617711,2703,214,6124,1325,0.9266369557764826,0.6710526315789473,0.8186440185348193,0.5738907224055739,0.28004956629491945,226,254,1339,908,0.4708333333333333,0.19929453262786595,0.5199234747257346
0,3,0.1,800,50,0.812077947134864,0.705829054666264,2337,257,6081,1691,0.9009252120277563,0.5801886792452831,0.7698198050691546,0.5661899523285662,0.272,221,270,1323,913,0.45010183299389,0.1948853615520282,0.5126969180641497
0,3,0.1,800,100,0.7757090488134285,0.6363209760675739,2034,331,6007,1994,0.8600422832980973,0.5049652432969215,0.7263702833714017,0.5632563256325632,0.25794392523364484,207,264,1329,927,0.4394904458598726,0.18253968253968253,0.5084073177293517
0,3,0.1,900,20,0.8614701910090681,0.7956162823797325,2795,203,6135,1233,0.9322881921280853,0.6938927507447865,0.8309318597523239,0.579024569123579,0.2922318125770654,237,251,1342,897,0.48565573770491804,0.20899470899470898,0.5257151824948436
0,3,0.1,900,50,0.8224001543507621,0.7274611398963731,2457,270,6068,1571,0.900990099009901,0.6099801390268124,0.7836899748463189,0.566923359002567,0.27855833842394623,228,275,1318,906,0.4532803180914513,0.20105820105820105,0.5142139718410904
0,3,0.1,900,100,0.788828863592514,0.6647266043804564,2170,331,6007,1858,0.8676529388244703,0.5387288977159881,0.743252110580935,0.5647231389805647,0.26863832409118915,218,271,1322,916,0.4458077709611452,0.19223985890652556,0.5110602935461692
0,3,0.13,100,20,0.6590777541964113,0.2541156606162938,602,108,6230,3426,0.847887323943662,0.14945382323733863,0.5662068737518343,0.59002566923359,0.10987261146496816,69,53,1540,1065,0.5655737704918032,0.06084656084656084,0.5137880010761366
0,3,0.13,100,50,0.6522284391279182,0.22255768816044857,516,93,6245,3512,0.8472906403940886,0.12810327706057598,0.556714939256069,0.581958195819582,0.08653846153846154,54,60,1533,1080,0.47368421052631576,0.047619047619047616,0.5049771320957762
0,3,0.13,100,100,0.6401697858383176,0.1751437417072092,396,98,6240,3632,0.8016194331983806,0.09831181727904667,0.5414247631677658,0.5834250091675834,0.07792207792207792,48,50,1543,1086,0.4897959183673469,0.042328042328042326,0.5054703614025648
0,3,0.13,200,20,0.7162840054022767,0.46595242418739785,1283,196,6142,2745,0.8674780256930358,0.3185203574975174,0.6437978878052433,0.5841584158415841,0.17105263157894737,117,117,1476,1017,0.5,0.10317460317460317,0.5148641377454937
