max_depth,criterion,train_acc,train_f1,train_tp,train_fp,train_tn,train_fn,train_precision,train_recall,train_roc_auc,val_acc,val_f1,val_tp,val_fp,val_tn,val_fn,val_precision,val_recall,val_roc_auc
40,log_loss,0.94655604862049,0.9293727689954105,3645,171,6167,383,0.9551886792452831,0.9049155908639523,0.9389677354761541,0.5753575357535754,0.13063063063063063,87,111,1482,1047,0.4393939393939394,0.07671957671957672,0.5035198636893552
45,gini,0.94655604862049,0.9295344696006105,3654,180,6158,374,0.9530516431924883,0.9071499503475671,0.939374912062392,0.5797579757975797,0.1511111111111111,102,114,1479,1032,0.4722222222222222,0.08994708994708994,0.5091920007174244
45,entropy,0.94655604862049,0.9296775831429297,3662,188,6150,366,0.9511688311688312,0.9091360476663356,0.9397368468057142,0.5760909424275761,0.13602391629297458,91,113,1480,1043,0.44607843137254904,0.08024691358024691,0.5046557857292321
45,log_loss,0.94655604862049,0.9296775831429297,3662,188,6150,366,0.9511688311688312,0.9091360476663356,0.9397368468057142,0.5760909424275761,0.13602391629297458,91,113,1480,1043,0.44607843137254904,0.08024691358024691,0.5046557857292321
50,gini,0.94655604862049,0.9296418592837186,3660,186,6152,368,0.9516380655226209,0.9086395233366436,0.9396463631198838,0.583058305830583,0.1533879374534624,103,106,1487,1031,0.49282296650717705,0.09082892416225749,0.5121439033868412
50,entropy,0.94655604862049,0.9295344696006105,3654,180,6158,374,0.9530516431924883,0.9071499503475671,0.939374912062392,0.5768243491015769,0.1297134238310709,86,106,1487,1048,0.4479166666666667,0.07583774250440917,0.5046483125579171
50,log_loss,0.94655604862049,0.9295344696006105,3654,180,6158,374,0.9530516431924883,0.9071499503475671,0.939374912062392,0.5768243491015769,0.1297134238310709,86,106,1487,1048,0.4479166666666667,0.07583774250440917,0.5046483125579171
55,gini,0.94655604862049,0.9296239837398373,3659,185,6153,369,0.9518730489073881,0.9083912611717975,0.9396011212769685,0.5815914924825816,0.14914243102162567,100,107,1486,1034,0.4830917874396135,0.08818342151675485,0.5105072788688607
55,entropy,0.94655604862049,0.9296418592837186,3660,186,6152,368,0.9516380655226209,0.9086395233366436,0.9396463631198838,0.5771910524385772,0.1271763815291446,84,103,1490,1050,0.44919786096256686,0.07407407407407407,0.5047080979284368
55,log_loss,0.94655604862049,0.9296418592837186,3660,186,6152,368,0.9516380655226209,0.9086395233366436,0.9396463631198838,0.5771910524385772,0.1271763815291446,84,103,1490,1050,0.44919786096256686,0.07407407407407407,0.5047080979284368
60,gini,0.94655604862049,0.9295882053889172,3657,183,6155,371,0.95234375,0.9078947368421053,0.9395106375911378,0.5823248991565824,0.15315985130111523,103,108,1485,1031,0.4881516587677725,0.09082892416225749,0.511516156996383
60,entropy,0.94655604862049,0.9295703025680142,3656,182,6156,372,0.9525794684731631,0.9076464746772592,0.9394653957482224,0.579024569123579,0.125,82,96,1497,1052,0.4606741573033708,0.07231040564373897,0.5060233760798732
60,log_loss,0.94655604862049,0.9295703025680142,3656,182,6156,372,0.9525794684731631,0.9076464746772592,0.9394653957482224,0.579024569123579,0.125,82,96,1497,1052,0.4606741573033708,0.07231040564373897,0.5060233760798732
65,gini,0.94655604862049,0.9295882053889172,3657,183,6155,371,0.95234375,0.9078947368421053,0.9395106375911378,0.5823248991565824,0.15315985130111523,103,108,1485,1031,0.4881516587677725,0.09082892416225749,0.511516156996383
65,entropy,0.94655604862049,0.9295882053889172,3657,183,6155,371,0.95234375,0.9078947368421053,0.9395106375911378,0.574990832416575,0.11996962794229309,79,104,1489,1055,0.43169398907103823,0.06966490299823633,0.5021896391952889
65,log_loss,0.94655604862049,0.9295882053889172,3657,183,6155,371,0.95234375,0.9078947368421053,0.9395106375911378,0.574990832416575,0.11996962794229309,79,104,1489,1055,0.43169398907103823,0.06966490299823633,0.5021896391952889
70,gini,0.94655604862049,0.9295882053889172,3657,183,6155,371,0.95234375,0.9078947368421053,0.9395106375911378,0.5823248991565824,0.15315985130111523,103,108,1485,1031,0.4881516587677725,0.09082892416225749,0.511516156996383
70,entropy,0.94655604862049,0.9295882053889172,3657,183,6155,371,0.95234375,0.9078947368421053,0.9395106375911378,0.5731573157315731,0.11280487804878049,74,104,1489,1060,0.4157303370786517,0.06525573192239859,0.49998505365737
70,log_loss,0.94655604862049,0.9295882053889172,3657,183,6155,371,0.95234375,0.9078947368421053,0.9395106375911378,0.5731573157315731,0.11280487804878049,74,104,1489,1060,0.4157303370786517,0.06525573192239859,0.49998505365737
75,gini,0.94655604862049,0.9295882053889172,3657,183,6155,371,0.95234375,0.9078947368421053,0.9395106375911378,0.5823248991565824,0.15315985130111523,103,108,1485,1031,0.4881516587677725,0.09082892416225749,0.511516156996383
75,entropy,0.94655604862049,0.9296060991105464,3658,184,6154,370,0.9521082769390942,0.9081429990069514,0.9395558794340532,0.5738907224055739,0.11297709923664122,74,102,1491,1060,0.42045454545454547,0.06525573192239859,0.5006128000478283
75,log_loss,0.94655604862049,0.9296060991105464,3658,184,6154,370,0.9521082769390942,0.9081429990069514,0.9395558794340532,0.5738907224055739,0.11297709923664122,74,102,1491,1060,0.42045454545454547,0.06525573192239859,0.5006128000478283
80,gini,0.94655604862049,0.9295882053889172,3657,183,6155,371,0.95234375,0.9078947368421053,0.9395106375911378,0.5823248991565824,0.15315985130111523,103,108,1485,1031,0.4881516587677725,0.09082892416225749,0.511516156996383
80,entropy,0.94655604862049,0.9296060991105464,3658,184,6154,370,0.9521082769390942,0.9081429990069514,0.9395558794340532,0.5738907224055739,0.11297709923664122,74,102,1491,1060,0.42045454545454547,0.06525573192239859,0.5006128000478283
80,log_loss,0.94655604862049,0.9296060991105464,3658,184,6154,370,0.9521082769390942,0.9081429990069514,0.9395558794340532,0.5738907224055739,0.11297709923664122,74,102,1491,1060,0.42045454545454547,0.06525573192239859,0.5006128000478283
85,gini,0.94655604862049,0.9295882053889172,3657,183,6155,371,0.95234375,0.9078947368421053,0.9395106375911378,0.5823248991565824,0.15315985130111523,103,108,1485,1031,0.4881516587677725,0.09082892416225749,0.511516156996383
85,entropy,0.94655604862049,0.9296060991105464,3658,184,6154,370,0.9521082769390942,0.9081429990069514,0.9395558794340532,0.5738907224055739,0.11297709923664122,74,102,1491,1060,0.42045454545454547,0.06525573192239859,0.5006128000478283
85,log_loss,0.94655604862049,0.9296060991105464,3658,184,6154,370,0.9521082769390942,0.9081429990069514,0.9395558794340532,0.5738907224055739,0.11297709923664122,74,102,1491,1060,0.42045454545454547,0.06525573192239859,0.5006128000478283
90,gini,0.94655604862049,0.9295882053889172,3657,183,6155,371,0.95234375,0.9078947368421053,0.9395106375911378,0.5823248991565824,0.15315985130111523,103,108,1485,1031,0.4881516587677725,0.09082892416225749,0.511516156996383
90,entropy,0.94655604862049,0.9296060991105464,3658,184,6154,370,0.9521082769390942,0.9081429990069514,0.9395558794340532,0.5738907224055739,0.11297709923664122,74,102,1491,1060,0.42045454545454547,0.06525573192239859,0.5006128000478283
90,log_loss,0.94655604862049,0.9296060991105464,3658,184,6154,370,0.9521082769390942,0.9081429990069514,0.9395558794340532,0.5738907224055739,0.11297709923664122,74,102,1491,1060,0.42045454545454547,0.06525573192239859,0.5006128000478283
95,gini,0.94655604862049,0.9295882053889172,3657,183,6155,371,0.95234375,0.9078947368421053,0.9395106375911378,0.5823248991565824,0.15315985130111523,103,108,1485,1031,0.4881516587677725,0.09082892416225749,0.511516156996383
95,entropy,0.94655604862049,0.9296060991105464,3658,184,6154,370,0.9521082769390942,0.9081429990069514,0.9395558794340532,0.5738907224055739,0.11297709923664122,74,102,1491,1060,0.42045454545454547,0.06525573192239859,0.5006128000478283
95,log_loss,0.94655604862049,0.9296060991105464,3658,184,6154,370,0.9521082769390942,0.9081429990069514,0.9395558794340532,0.5738907224055739,0.11297709923664122,74,102,1491,1060,0.42045454545454547,0.06525573192239859,0.5006128000478283
100,gini,0.94655604862049,0.9295882053889172,3657,183,6155,371,0.95234375,0.9078947368421053,0.9395106375911378,0.5823248991565824,0.15315985130111523,103,108,1485,1031,0.4881516587677725,0.09082892416225749,0.511516156996383
100,entropy,0.94655604862049,0.9296060991105464,3658,184,6154,370,0.9521082769390942,0.9081429990069514,0.9395558794340532,0.5738907224055739,0.11297709923664122,74,102,1491,1060,0.42045454545454547,0.06525573192239859,0.5006128000478283
100,log_loss,0.94655604862049,0.9296060991105464,3658,184,6154,370,0.9521082769390942,0.9081429990069514,0.9395558794340532,0.5738907224055739,0.11297709923664122,74,102,1491,1060,0.42045454545454547,0.06525573192239859,0.5006128000478283
105,gini,0.94655604862049,0.9295882053889172,3657,183,6155,371,0.95234375,0.9078947368421053,0.9395106375911378,0.5823248991565824,0.15315985130111523,103,108,1485,1031,0.4881516587677725,0.09082892416225749,0.511516156996383
105,entropy,0.94655604862049,0.9296060991105464,3658,184,6154,370,0.9521082769390942,0.9081429990069514,0.9395558794340532,0.5738907224055739,0.11297709923664122,74,102,1491,1060,0.42045454545454547,0.06525573192239859,0.5006128000478283
105,log_loss,0.94655604862049,0.9296060991105464,3658,184,6154,370,0.9521082769390942,0.9081429990069514,0.9395558794340532,0.5738907224055739,0.11297709923664122,74,102,1491,1060,0.42045454545454547,0.06525573192239859,0.5006128000478283
